#domain
hospital
#levelname
MAzonakis
#colors
blue: 0,B,C
red: A,1
#initial
+++++++++++++++++++++++++++++++++++
+++++  ++++++++++++++++++++++++++++
+++++  ++++++++++++++++++++++++++++
+++++  ++++                       +
+++++  ++++                       +
+          ++++++++++++++++A+++++++
+          ++++++++++++++++ +++++++
+++++  ++++               0       +
+++++  ++++                       +
+++++  ++++ +++++++++++++++++++++++
+++++BC++++ +++++++++++++++++++++++
+                                 +
+                                 +
+ +++++++++++++++++++++++++++++++++
+ +++++++++++++++++++++++++++++++++
+                                 +
+                  1              +
+++++++++++++++++++++++++++++++++++
+++++++++++++++++++++++++++++++++++
#goal
+++++++++++++++++++++++++++++++++++
+++++A ++++++++++++++++++++++++++++
+++++  ++++++++++++++++++++++++++++
+++++  ++++                       +
+++++  ++++                       +
+C         ++++++++++++++++ +++++++
+B         ++++++++++++++++ +++++++
+++++  ++++                       +
+++++  ++++                       +
+++++  ++++ +++++++++++++++++++++++
+++++  ++++ +++++++++++++++++++++++
+                                 +
+                                 +
+ +++++++++++++++++++++++++++++++++
+ +++++++++++++++++++++++++++++++++
+                                 +
+                                 +
+++++++++++++++++++++++++++++++++++
+++++++++++++++++++++++++++++++++++
#end
#clientname
BigSplit
#actions
120220708:Move(W)@h: 31|Move(N)@h: 55
120382083:Move(S)@h: 30|Move(W)@h: 56
120463458:Move(W)@h: 29|Move(W)@h: 57
120547666:Move(W)@h: 28|Move(W)@h: 58
120620666:Move(W)@h: 27|Move(W)@h: 59
120692791:Move(W)@h: 26|Move(W)@h: 60
120761250:Move(W)@h: 25|Move(W)@h: 61
120856083:Move(W)@h: 24|Move(W)@h: 62
120948666:Move(W)@h: 23|Move(W)@h: 63
121098708:Move(W)@h: 22|Move(W)@h: 64
122161166:Move(W)@h: 21|Move(W)@h: 65
122266958:Move(W)@h: 20|Move(W)@h: 66
122342875:Move(W)@h: 19|Move(W)@h: 67
122408166:Move(W)@h: 18|Move(W)@h: 68
122446416:Move(W)@h: 17|Move(W)@h: 69
122544333:Move(W)@h: 16|Move(W)@h: 70
122603583:Move(S)@h: 15|Move(W)@h: 71
122695625:Move(S)@h: 14|Move(W)@h: 72
122803583:Move(S)@h: 15|Move(W)@h: 73
122852625:Move(W)@h: 14|Move(N)@h: 72
123008458:Move(W)@h: 13|Move(N)@h: 71
123083958:Move(W)@h: 12|Move(N)@h: 70
123153791:Move(W)@h: 11|Move(E)@h: 69
123242666:Move(W)@h: 10|Move(N)@h: 68
123316166:Push(N,N)@h: 9|Move(E)@h: 67
123356416:Push(N,W)@h: 9|Move(E)@h: 66
123407375:Push(W,N)@h: 8|Move(E)@h: 65
123443708:Pull(E,N)@h: 8|Move(E)@h: 64
123518375:Move(N)@h: 8|Move(E)@h: 63
123554041:Push(W,N)@h: 7|Move(E)@h: 62
123610583:Pull(E,N)@h: 7|Move(E)@h: 61
123657166:Move(N)@h: 7|Move(E)@h: 60
123758208:Push(W,N)@h: 6|Move(E)@h: 59
123839083:Pull(E,N)@h: 6|Move(N)@h: 58
123917625:Move(N)@h: 6|Move(N)@h: 57
123956500:Push(W,N)@h: 5|Move(N)@h: 56
124004750:Pull(W,N)@h: 5|Move(E)@h: 55
124084666:Pull(N,W)@h: 4|Move(E)@h: 54
125024125:Pull(W,W)@h: 4|Move(E)@h: 53
