CPU model on this node:
model name	: Intel(R) Xeon(R) Gold 6126 CPU @ 2.60GHz
Running Python script now!
         115778 function calls (113084 primitive calls) in 0.137 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.001    0.000    0.220    0.016 __init__.py:1(<module>)
    144/1    0.000    0.000    0.137    0.137 {built-in method builtins.exec}
        1    0.000    0.000    0.137    0.137 haversine.py:1(<module>)
    190/5    0.001    0.000    0.132    0.026 <frozen importlib._bootstrap>:1002(_find_and_load)
    190/5    0.001    0.000    0.132    0.026 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    178/5    0.001    0.000    0.132    0.026 <frozen importlib._bootstrap>:659(_load_unlocked)
    143/5    0.000    0.000    0.132    0.026 <frozen importlib._bootstrap_external>:844(exec_module)
    267/5    0.000    0.000    0.130    0.026 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   368/11    0.000    0.000    0.104    0.009 {built-in method builtins.__import__}
   192/24    0.001    0.000    0.103    0.004 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.035    0.035 haversine.py:19(load_points)
        1    0.000    0.000    0.035    0.035 npyio.py:1081(loadtxt)
        1    0.000    0.000    0.035    0.035 npyio.py:801(_read)
        1    0.000    0.000    0.035    0.035 _datasource.py:155(open)
        1    0.000    0.000    0.035    0.035 _datasource.py:487(open)
        1    0.000    0.000    0.035    0.035 _datasource.py:344(_findfile)
       10    0.000    0.000    0.032    0.003 _datasource.py:431(exists)
  178/175    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.032    0.032 multiarray.py:1(<module>)
        1    0.000    0.000    0.031    0.031 overrides.py:1(<module>)
    33/31    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap_external>:1172(create_module)
    33/31    0.026    0.001    0.028    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.027    0.027 request.py:1(<module>)
      143    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
      143    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
  385/384    0.005    0.000    0.015    0.000 {built-in method builtins.__build_class__}
      143    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
      171    0.000    0.000    0.015    0.000 re.py:289(_compile)
       46    0.000    0.000    0.014    0.000 re.py:250(compile)
       48    0.000    0.000    0.014    0.000 sre_compile.py:783(compile)
      187    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.012    0.012 parser.py:5(<module>)
        1    0.000    0.000    0.012    0.012 feedparser.py:5(<module>)
      185    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1416(find_spec)
      185    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1384(_get_spec)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _policybase.py:1(<module>)
    33/24    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1180(exec_module)
    33/24    0.002    0.000    0.010    0.000 {built-in method _imp.exec_dynamic}
      370    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1515(find_spec)
        1    0.000    0.000    0.009    0.009 _add_newdocs_scalars.py:1(<module>)
       48    0.000    0.000    0.008    0.000 sre_parse.py:944(parse)
        1    0.000    0.000    0.008    0.008 py3k.py:1(<module>)
   138/48    0.000    0.000    0.008    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.008    0.008 platform.py:3(<module>)
   169/53    0.003    0.000    0.008    0.000 sre_parse.py:494(_parse)
      784    0.007    0.000    0.007    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.006    0.006 utils.py:5(<module>)
       13    0.000    0.000    0.006    0.000 enum.py:528(_convert_)
        1    0.000    0.000    0.006    0.006 ssl.py:4(<module>)
      314    0.001    0.000    0.006    0.000 overrides.py:170(decorator)
      143    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1037(get_data)
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
       48    0.000    0.000    0.005    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
       20    0.002    0.000    0.004    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.004    0.004 socket.py:4(<module>)
      123    0.000    0.000    0.004    0.000 enum.py:358(__call__)
       20    0.000    0.000    0.004    0.000 genericpath.py:16(exists)
   297/48    0.001    0.000    0.004    0.000 sre_compile.py:87(_compile)
       13    0.000    0.000    0.004    0.000 enum.py:475(_create_)
        1    0.000    0.000    0.004    0.004 subprocess.py:10(<module>)
      178    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
        1    0.000    0.000    0.003    0.003 _pep440.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
      284    0.001    0.000    0.003    0.000 overrides.py:88(verify_matching_signatures)
     1876    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      764    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        2    0.000    0.000    0.003    0.001 _datasource.py:294(_possible_names)
        2    0.000    0.000    0.003    0.001 _datasource.py:263(_iszip)
        4    0.000    0.000    0.003    0.001 _datasource.py:130(keys)
        4    0.000    0.000    0.003    0.001 _datasource.py:103(_load)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      143    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.003    0.003 version.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _pep440.py:285(Version)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
        2    0.000    0.000    0.003    0.001 shape_base.py:1(<module>)
      286    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.000    0.000    0.002    0.002 _version.py:7(<module>)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
